,Unnamed: 0,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
91,91,The Legend of Korra,"['animation', 'action', 'adventure']",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,20122014,8.5,,84566.0,23 min,"Janet Varney, P.J. Byrne, David Faustino, J.K. Simmons"
92,92,Suits,"['comedy', 'drama']","On the run from a drug deal gone bad, Mike Ross, a brilliant college dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers.",2011,8.5,,323195.0,44 min,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty"
93,93,Spartacus,"['action', 'adventure', 'biography']","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",20102013,8.5,,203505.0,55 min,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel"
94,94,Community,['comedy'],A suspended lawyer is forced to enroll in a community college with an eclectic staff and student body.,20092015,8.5,,173171.0,22 min,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase"
95,95,Supernatural,"['drama', 'fantasy', 'horror']","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",2005,8.5,,349312.0,44 min,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins"
96,96,The Colbert Report,"['comedy', 'news', 'talk-show']","Satirical newscaster Stephen Colbert provides humorous commentary on the big issues going on in the United States and the rest of the world, with his larger-than-life ego and overly-patriotic spirit along with him every step of the way.",20052015,8.5,,36524.0,30 min,"Stephen Colbert, Jay Katsir, Jon Stewart, Paul Dinello"
97,97,The Venture Bros.,"['animation', 'comedy', 'sci-fi']","The bizarre animated escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high strung bodyguard, and his two over-enthusiastic sons.",2003,8.5,,21743.0,22 min,"Christopher McCulloch, James Urbaniak, Doc Hammer, Michael Sinterniklaas"
98,98,Entourage,"['comedy', 'drama']",Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,20042011,8.5,,151085.0,28 min,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara"
99,99,Carnivàle,"['drama', 'fantasy', 'mystery']","During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.",20032005,8.5,,39921.0,55 min,"Michael J. Anderson, Adrienne Barbeau, Clancy Brown, Debra Christofferson"
100,100,Whose Line Is It Anyway?,"['comedy', 'game-show']",Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,19982007,8.5,,37077.0,30 min,"Drew Carey, Colin Mochrie, Ryan Stiles, Laura Hall"
101,101,Futurama,"['animation', 'comedy', 'sci-fi']","Philip J. Fry, a pizza guy, is accidentally frozen in 1999 and thawed out New Year's Eve 2999.",19992013,8.5,,193569.0,22 min,"Billy West, John DiMaggio, Katey Sagal, Tress MacNeille"
102,102,The New Batman Adventures,"['animation', 'action', 'adventure']","The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.",19971999,8.5,,11685.0,30 min,"Kevin Conroy, Tara Strong, Mathew Valencia, Efrem Zimbalist Jr."
103,103,The Daily Show,"['comedy', 'news', 'talk-show']","Providing comedy/news in the tradition of TV Nation and SNL's Weekend Update, Comedy Central's Daily Show reports on the foibles and of the real world with a satirical edge. In addition to ...                See full summary »",1996,8.5,,41805.0,22 min,"Jon Stewart, Stephen Colbert, Trevor Noah, John Oliver"
104,104,X-Men: The Animated Series,"['animation', 'action', 'family']",A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,19921997,8.5,,32957.0,23 min,"Cedric Smith, Cathal J. Dodd, Lenore Zann, George Buza"
105,105,Mystery Science Theater 3000,"['comedy', 'sci-fi']","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",19881999,8.5,,21721.0,92 min,"Joel Hodgson, Michael J. Nelson, Trace Beaulieu, Kevin Murphy"
106,106,Sex Education,"['comedy', 'drama']",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,2019,8.4,,57123.0,45 min,"Asa Butterfield, Gillian Anderson, Emma Mackey, Alistair Petrie"
107,107,Final Space,"['animation', 'action', 'adventure']",An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,2018,8.4,,19537.0,30 min,"Fred Armisen, Tom Kenny, Olan Rogers, Tika Sumpter"
108,108,Inside Look: The People v. O.J. Simpson - American Crime Story,"['documentary', 'short']",Inside the series of the same name.,2016,8.4,,18365.0,5 min,"Sarah Paulson, Brad Simpson, Sterling K. Brown, Nina Jacobson"
109,109,Genius,"['biography', 'drama', 'history']","The life stories of history's greatest minds. From their days as young adults to their final years we see their discoveries, loves, relationships, causes, flaws and genius.",2017,8.4,,13896.0,43 min,"Samantha Colley, Seth Gabel, Antonio Banderas, Clémence Poésy"
110,110,Billions,['drama'],"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",2016,8.4,,52403.0,60 min,"Paul Giamatti, Damian Lewis, Maggie Siff, Toby Leonard Moore"
111,111,The Young Pope,['drama'],"The beginning of the pontificate of Lenny Belardo, alias Pius XIII, the first American Pope in history.",,,,,,
112,112,Bosch,"['crime', 'drama']",An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,2014,8.4,,31253.0,51 min,"Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick"
113,113,The Expanse,"['drama', 'mystery', 'sci-fi']","A police detective in the asteroid belt, the first officer of an interplanetary ice freighter and an earth-bound United Nations executive slowly discover a vast conspiracy that threatens the Earth's rebellious colony on the asteroid belt.",2016,8.8,,93.0,19 min,"Timothy M. Gray, Daniel Abraham, Shohreh Aghdashloo, Cas Anvar, Pirate Baban"
114,114,Halt and Catch Fire,['drama'],Follows some players in the 80s technological revolution that lead to information society.,20142017,8.4,,24183.0,60 min,"Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé"
115,115,Brooklyn Nine-Nine,"['comedy', 'crime']","Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt.",2013,8.4,,142660.0,22 min,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero"
116,116,Sense8,"['drama', 'mystery', 'sci-fi']","A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.",20152018,8.4,,122709.0,60 min,"Doona Bae, Jamie Clayton, Tina Desai, Tuppence Middleton"
117,117,Rectify,['drama'],Daniel Holden must put his life back together after serving 19 years on Georgia's Death Row before DNA evidence calls his conviction into question.,20132016,8.4,,21811.0,60 min,"Aden Young, Abigail Spencer, J. Smith-Cameron, Adelaide Clemens"
118,118,The Americans,"['crime', 'drama', 'mystery']","At the height of the Cold War two Russian agents pose as your average American couple, complete with family.",20132018,8.4,,72098.0,44 min,"Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor"
119,119,Banshee,"['action', 'crime', 'drama']","An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.",20132016,8.4,,75135.0,60 min,"Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison"
120,120,Person of Interest,"['action', 'crime', 'drama']","An ex-assassin and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes--including the civilians' roles--are left a mystery.",20112016,8.4,,151951.0,43 min,"Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson"
121,121,Trollhunters: Tales of Arcadia,"['animation', 'adventure', 'comedy']","An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",20162018,8.4,,10060.0,23 min,"Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer"
