,Unnamed: 0,Title,Genre,Network,Summary
58,58,I Picked up a Star on the Road,"['Romance', 'Comedy', 'Youth']",Oksusu,this drama is about a young girl who meet up a world class superstar on the road one day
59,59,Fluttering Warning,['Romance'],MBN,this drama is based on a popular web novel of the same title by â€œì„œí•œê²°  seo han kyulâ€ which was published from 2016dec5 to 2017mar4 via shiftbooksyes24coma dermatologist cha woo hyun chun jung myung is extremely popular with women but he doesnâ€™t have much interest in dating yoon yo jung yoon eun hye is a famous actress who hasnâ€™t been able to date another man since rumors started to spread 15 years ago by mere coincidence they decide to establish a contract in which they decide to â€œpretendâ€ to others that they are dating and in love with each other
60,60,The Sound of Your Heart: Reboot (Season 1),"['Comedy', 'Sitcom']",Netflix,this drama is not a sequel of â€œthe sound of your heart kbs2â€ but rather a remake that will faithfully adapt the webcomic â€œë§ˆìœì˜ì†œë¦¬  the sound of your heartâ€ by jo seok which has been being published online since 2006itâ€™s a sitcom with cheeky imagination unexpected turn of events and raucous laughter
61,61,When Time Stops,"['Fantasy', 'Romance']",KBS-W,this drama is about a man goes back and forth in the timespace continuum with no regard for the passing of time and agingjoon woo kim hyun joong leads a lonely existence due to his special ability one day he meets sun ah ahn ji hyun a woman who makes time matter for the first time in his life will he be able to be with her
62,62,My Healing Love,"['Family', 'Romance']",MBC,this drama tells the story of the rise and eventual success of a woman comes from an underprivileged backgroundim chi woo so yoo jin is an unfortunate woman she is a national superwoman who never wanted to be a kind daughter daughterinlaw or a wife but was unwillingly sacrificed by her family she is married to immature park wan seung yoon jong hoon and she works several parttime jobs to support her family under her difficult situation she keeps smiling and maintaining her positive attitude meanwhile choi jin yoo yun jung hoon is a divorcee and he has a daughter he works hard and tries live positively for his daughter
63,63,Twelve Nights,['Romance'],Channel A,this drama is a 100 preproducution dramahan yoo kyung han seung yeon takes a trip to korea after graduating from college in the united states and ends up fighting with her boyfriend and breaking up she meets cha hyun oh shin hyun soo who took an impulsive trip to korea after quitting his job in japan the two share a walk on the beach and then part waysbut yoo kyung and and hyun oh surprisingly keep bumping into each other over the course of three different trips and end up spending 12 nights together could this be just coincidence or something much more
64,64,Dae Jang Geum Is Watching,"['Sitcom', 'Food', 'Romance']",MBC,the drama is about the descendants of the main characters from hit mbc drama â€œjewel in the palaceâ€œitâ€™s tell the story of three siblings han san hae shin dong wook han jin mi lee yul eum and han jung shik kim hyun joon as they each devour delicious food fall in love and struggle through the difficulties in life meanwhile bok sung ah kwon yoo ri is a new employee in the sales team working at the same company as han san hae
65,65,Matrimonial Chaos,"['Romance', 'Comedy', 'Family']",KBS2,this drama is based on the 2013 japanese fuji tv drama â€œsaikou no rikonâ€œit explores the different thoughts of men and women in their thirties about love marriage and family in a modern age when divorce is more common
66,66,"Miss Ma, Nemesis","['Melodrama', 'Mystery']",SBS,this drama is based on novel series â€œmiss marpleâ€œ by agatha christieitâ€™s tells the story of a woman who is falsely accused of killing her daughter as she embarks on a journey to prove her innocence
67,67,Room No. 9,"['Fantasy', 'Legal', 'Mystery']",tvN,the story of two women whose fate is switched as they exchange bodies and a man who holds the key to that fate
