,Actor,Shows
66,Cha Joo Young,"['Wok of Love', 'Jugglers', 'Ice Binggoo', 'Laurel Tree Tailors', 'Cheese in the Trap', 'My Unfortunate Boyfriend', 'Dr. Frost']"
67,Cha Jung Won,"['My Absolute Boyfriend', 'Special Labor Inspector Jo', 'Lawless Lawyer', 'Oh! Dear Half-Basement Goddesses', 'Wednesday 3:30 PM', 'All About My Mom', 'She Was Pretty']"
68,Cha Min Ji,"['Priest', 'Voice 2', 'Fighter Choi Kang Soon', 'Go Back Couple', 'Mystery Queen', 'The Firstborn', 'The Whereabouts of Noh Sook Ja', 'My Daughter Seo Yeong', 'I Need a Fairy', 'The Princess’ Man', 'Secret Garden', 'Jungle Fish', 'Dae Wang Sejong', 'The King and I', 'The Immortal Lee Soon-Shin', 'Sweet 18']"
69,Cha Se Young,"['Lucky Romance', 'Super Daddy Yeol', 'The Family Is Coming']"
70,Cha Seo Won,"['Fashion King', 'Hometown Legends', 'How to Meet a Perfect Neighbor', 'Bad Couple', 'Marrying a Millionaire']"
71,Cha Soo Yun,"['Fates and Furies', 'Twelve Nights', 'Miss Hammurabi', 'As Far as the Distance Dance', 'Bird That Doesn’t Cry', 'My Heart Twinkle Twinkle', 'Liar Game', 'My Love, Madame Butterfly', 'A Thousand Kisses', 'Hair Show', 'Stormy Lovers', 'Hot Blood', 'The World That They Live In', 'Time Between Dog and Wolf']"
72,Cha Ye Ryun,"['Glamorous Temptation', 'She’s So Lovable', 'Golden Rainbow', 'Royal Family', 'Dr. Champ', 'Invincible Lee Pyung Kang', 'Style', 'Star’s Lover', 'Working Mom', 'Bad Love']"
73,Chaeyeon,"['My First First Love', 'To. Jenny', 'Luv Pub', 'Shall We Live Together', 'I Am', 'Reunited Worlds', '109 Unusual Things Have Happened', 'Drinking Solo']"
74,Chae Gook Hee,"['Chae Si R', 'Fantastic', 'Dear My Friends', 'Maids', 'Style']"
75,Chae Ji Ahn,['The Ghost Detective']
76,Chae Jung Ahn,"['Legal High', 'Suits', 'Man to Man', 'Doctors', 'Entertainer', 'Yong Pal', 'Ex-Girlfriend Club', 'A New Leaf', 'The Prime Minister and I', 'Your Noir', 'When A Man Loves', 'Queen of Reversals', 'Hot Blood', 'Cain and Abel', 'The 1st Shop of Coffee Prince', 'Sea God', 'Breathless']"
77,Chae Min Hee,"['Criminal Minds', 'TV Novel – Sea of the Woman', 'Master: God of Noodles', 'Golden Cross', 'TV Novel – Eun Hee', 'TV Novel Bok Hee', 'Mary Stayed Out All Night', 'Kyung Sook’s Father']"
78,Chae Min Seo,"['You Don’t Know Women', 'Money’s Warfare', 'Bad Couple']"
79,Chae Rim,"['Park Yoon Ja', 'Oh! My Lady', 'Good Job, Good Job', 'Powerful Opponents', 'Dal Ja’s Spring', 'Oh! Pil Seung And Bong Soon Young', 'We Are Dating Now']"
80,Chae Seo Jin,"['Kim Ok Bi', 'Coffee, Please', 'Girls’ Generation 1979', 'Over the Rainbow']"
81,Chae Si Ra,"['Chae Gook He', 'The Banker', 'Goodbye to Goodbye', 'Unkind Women', 'Five Fingers', 'Queen Insoo', 'Empress Chun Chu', 'The Invisible Man', 'Emperor of the Sea', 'Terms of Endearment', '2018 MBC Drama Award', '2015 KBS Drama Award', '2012 SBS Drama Award', '2012 SBS Drama Award']"
